prison,date,incidents
Doncaster,2002-07-01,1
Doncaster,2002-12-01,2
Doncaster,2003-01-01,1
Doncaster,2003-03-01,1
Doncaster,2003-12-01,1
Doncaster,2004-04-01,1
Doncaster,2004-10-01,1
Doncaster,2005-09-01,1
Doncaster,2006-01-01,1
Doncaster,2006-07-01,1
Doncaster,2006-09-01,1
Doncaster,2007-03-01,1
Doncaster,2007-05-01,1
Doncaster,2007-06-01,1
Doncaster,2007-11-01,1
Doncaster,2008-06-01,1
Doncaster,2008-07-01,1
Doncaster,2010-02-01,1
Doncaster,2010-06-01,1
Doncaster,2010-11-01,2
Doncaster,2011-04-01,1
Doncaster,2011-06-01,1
Doncaster,2011-07-01,1
Doncaster,2011-08-01,1
Doncaster,2012-07-01,1
Doncaster,2013-12-01,1
Doncaster,2014-04-01,1
Doncaster,2014-05-01,1
Doncaster,2014-12-01,2
Doncaster,2015-02-01,1
Doncaster,2015-06-01,2
Doncaster,2015-07-01,1
Doncaster,2015-08-01,1
Doncaster,2016-04-01,1
Doncaster,2016-09-01,1
Doncaster,2016-12-01,2
Doncaster,2017-03-01,1
Doncaster,2017-04-01,1
Doncaster,2017-06-01,1
Doncaster,2017-11-01,1
Doncaster,2017-12-01,1
Doncaster,2018-05-01,1
Doncaster,2018-09-01,1
Doncaster,2018-11-01,2
Doncaster,2019-01-01,1
Doncaster,2019-04-01,1
Doncaster,2019-06-01,2
Doncaster,2019-07-01,1
Doncaster,2019-08-01,2
Doncaster,2019-09-01,1
Doncaster,2019-10-01,1
Doncaster,2019-11-01,1
Doncaster,2020-02-01,1
Doncaster,2020-06-01,1
Doncaster,2020-08-01,2
Doncaster,2020-10-01,1
Doncaster,2020-11-01,1
Doncaster,2020-12-01,6
Doncaster,2021-01-01,1
Doncaster,2021-02-01,2
Doncaster,2021-08-01,1
Doncaster,2021-10-01,1
Doncaster,2022-04-01,2
Doncaster,2022-07-01,2
Doncaster,2022-09-01,1
Doncaster,2022-11-01,2
Doncaster,2022-12-01,1
Doncaster,2023-01-01,1
Doncaster,2023-04-01,1
Doncaster,2023-12-01,1
Doncaster,2024-08-01,1
Doncaster,2024-09-01,1
Dorchester,2001-03-01,2
Dorchester,2001-12-01,1
Dorchester,2003-01-01,1
Dorchester,2003-03-01,1
Dorchester,2005-06-01,1
Dorchester,2007-07-01,1
Dorchester,2011-01-01,1
Dorchester,2011-09-01,1
Dorchester,2012-06-01,1
Dorchester,2013-05-01,1
Dorchester,2013-08-01,1
Dovegate,2002-01-01,1
Dovegate,2002-04-01,1
Dovegate,2002-06-01,1
Dovegate,2002-07-01,1
Dovegate,2002-10-01,1
Dovegate,2003-02-01,1
Dovegate,2004-12-01,1
Dovegate,2005-01-01,1
Dovegate,2006-02-01,1
Dovegate,2008-03-01,1
Dovegate,2008-06-01,1
Dovegate,2008-08-01,1
Dovegate,2009-02-01,1
Dovegate,2009-03-01,1
Dovegate,2009-07-01,1
Dovegate,2009-09-01,1
Dovegate,2009-10-01,1
Dovegate,2010-01-01,1
Dovegate,2010-08-01,1
Dovegate,2010-10-01,1
Dovegate,2011-07-01,1
Dovegate,2012-05-01,1
Dovegate,2012-08-01,1
Dovegate,2013-02-01,1
Dovegate,2013-05-01,1
Dovegate,2013-06-01,1
Dovegate,2013-12-01,1
Dovegate,2015-03-01,1
Dovegate,2015-04-01,1
Dovegate,2015-05-01,1
Dovegate,2016-01-01,1
Dovegate,2017-11-01,1
Dovegate,2017-12-01,1
Dovegate,2018-01-01,1
Dovegate,2018-03-01,1
Dovegate,2018-07-01,1
Dovegate,2018-09-01,2
Dovegate,2018-12-01,1
Dovegate,2019-05-01,1
Dovegate,2019-07-01,1
Dovegate,2019-09-01,1
Dovegate,2019-11-01,1
Dovegate,2020-07-01,1
Dovegate,2020-09-01,1
Dovegate,2020-10-01,1
Dovegate,2021-02-01,2
Dovegate,2021-07-01,1
Dovegate,2021-10-01,1
Dovegate,2021-11-01,1
Dovegate,2022-07-01,1
Dovegate,2023-02-01,1
Dovegate,2023-04-01,2
Dovegate,2023-10-01,1
